#    X        Y           F606W     F814W
#    ACS/WFC-pixel            ACS/WFC  
  4223.345   829.911      24.954    23.430
  4225.385   966.995      26.361    24.970
  4258.352   854.316      25.543    23.952
  4245.575   897.399      25.747    24.073
  4269.335   778.168      23.568    22.095
  4283.889   765.725      24.956    23.362
  4274.562   952.599      26.437    24.821
  4284.544   959.688      25.275    23.733
  4280.997   966.130      25.984    24.502
  4288.964   881.385      25.936    24.764
  4324.306   862.206      20.704    19.024
  4324.725   840.490      27.610    25.828
  4320.090   891.625      27.436    26.248
  4321.499   925.626      23.976    22.450
  4381.415   902.959      27.199    27.464
  4379.180   968.569      24.118    22.555
  4391.203   897.486      26.452    25.357
  4404.892   903.797      26.856    24.914
  4401.707   915.335      27.265    25.532
  4417.213   926.431      25.683    25.016
  4452.895   970.514      24.019    22.579
  4466.414   781.569      24.355    22.991
  4497.455   897.709      26.596    25.381
  4494.680   979.238      27.061    28.358
  4520.376   865.785      25.801    23.545
  4516.097   924.267      25.818    24.313
  4515.339   971.349      24.989    23.496
  4528.848   978.789      27.893    25.764
  4555.861   718.017      23.337    21.978
  4548.964   847.977      27.325    25.663
  4562.117   856.063      24.741    23.412
  4545.787   882.738      26.029    24.072
  4550.669   871.371      25.003    23.496
  4544.164   986.597      22.679    21.443
  4571.429   808.179      26.349    25.001
  4568.360   976.669      24.676    23.151
  4592.602   899.238      23.907    22.418
  4609.850   930.686      27.075    24.763
  4634.958   808.139      27.287    28.589
  4615.745   857.461      25.847    24.021
  4657.486   965.937      26.495    25.876
  4669.127   797.828      25.023    23.922
  4695.955   870.553      27.555    25.914
  4700.165   926.215      28.113    25.406
  4709.889   975.596      26.137    24.526
  4732.312   857.866      27.684    25.996
  4730.676   901.984      26.387    24.607
  4732.950   980.498      27.675    23.662
  4754.757   748.328      24.941    23.447
  4755.499   816.261      25.248    23.650
  4751.983   884.913      26.614    24.662
  4752.543   950.909      26.075    24.220
  4758.235   976.353      26.640    24.597
  4799.270   808.472      21.456    19.917
  4812.172   808.633      26.708    25.444
  4812.091   806.574      27.160    26.233
  4791.862   825.858      24.671    23.111
  4789.058   897.279      26.103    24.697
  4824.580   935.362      27.119    26.194
  4852.146   812.231      27.334    25.123
  4853.208   962.439      24.198    22.764
  4864.313   861.815      26.552    24.461
  4871.276   850.428      28.523    26.009
  4885.652   903.432      26.384    25.082
  4872.413   926.750      28.352    26.002
  4896.064   908.509      25.050    25.811
  4914.274   976.547      28.438    25.793
  4961.304   952.726      25.226    23.835
  5023.352   975.055      25.359    22.265
   751.478   992.262      23.608    20.956
   748.567  1195.341      24.603    23.365
   787.662  1147.959      24.713    23.211
   782.960  1641.184      19.015    17.598
   766.467  1933.309      24.236    22.769
   834.331  1168.117      24.997    23.420
   818.640  1442.713      24.895    23.286
   830.356  1596.843      25.359    23.884
   835.044  1605.189      27.908    28.265
   834.839  1766.866      26.793    25.108
   813.949  1861.080      26.378    25.149
   835.160  1923.954      25.819    24.221
   842.566  1289.702      26.834    25.242
   858.379  1329.634      24.744    23.216
   842.232  1375.418      28.593    26.683
   853.715  1485.193      27.109    25.024
   858.007  1580.434      24.574    23.006
   851.819  1709.594      26.566    24.524
   854.306  1855.756      26.329    24.937
   855.056  1855.394      28.115    25.667
   844.909  1895.540      27.401    25.777
   859.109  1904.188      26.649    25.371
   881.005  1122.640      26.309    24.753
   886.290  1116.257      25.389    23.738
   874.857  1154.986      25.173    23.524
   872.001  1418.290      23.377    21.874
   864.122  1458.544      24.529    22.968
   886.255  1496.371      25.078    23.426
   882.562  1564.821      26.333    24.899
   868.480  1621.295      25.005    23.525
   863.513  1649.923      25.749    24.138
   871.245  1789.538      27.905    26.656
   880.534  1792.157      26.448    24.708
   882.531  1803.728      26.925    27.354
   873.844  1905.471      24.453    22.805
   880.282  1899.046      24.951    23.369
   874.348  1915.213      25.133    23.988
   886.509  1939.153      27.059    27.192
   864.487  1975.862      26.398    24.581
   905.119  1197.789      28.124    25.801
   898.812  1248.549      25.992    24.327
   890.456  1410.066      26.202    24.529
   911.309  1502.008      24.435    23.007
   892.424  1514.003      26.961    24.882
   900.870  1516.104      24.385    22.967
   898.871  1543.670      28.134    25.753
   891.613  1588.547      24.598    23.144
   907.949  1697.820      24.958    23.429
   896.868  1758.903      26.180    24.779
   901.322  1913.683      25.444    24.133
   891.927  1939.249      27.177    24.627
   913.441  1068.780      27.379    27.511
   937.832  1151.758      25.417    23.933
   920.521  1204.126      28.263    26.600
   930.036  1324.676      25.010    23.425
   924.904  1443.124      24.546    22.984
   916.692  1478.105      27.342    25.184
   915.941  1886.472      26.457    24.802
   928.258  1929.869      27.093    25.459
   917.785  1957.002      28.253    26.432
   919.510  1938.908      25.685    24.094
   920.819  1958.644      26.546    25.200
   961.956  1094.749      24.273    22.363
   958.869  1296.155      26.748    25.485
   947.043  1424.517      27.524    25.703
   938.326  1751.877      24.821    23.984
   957.802  1745.658      27.586    25.752
   940.486  1801.856      26.244    24.549
   945.794  1923.361      23.562    22.030
   952.187  1945.269      26.648    25.175
   943.568  1972.018      25.387    23.732
   968.131  1207.036      22.143    20.132
   974.452  1332.784      26.548    24.678
   979.829  1405.332      25.407    23.485
   964.510  1549.404      21.943    20.120
   981.542  1588.890      26.435    25.241
   970.392  1682.547      28.960    24.999
   982.644  1719.197      23.531    21.978
   987.490  1736.932      26.070    24.233
   971.878  1740.667      27.548    25.707
   987.556  1886.979      25.372    23.775
   994.787  1137.469      24.756    23.178
  1011.303  1138.725      26.739    24.788
  1009.393  1242.115      25.174    23.603
   999.819  1365.669      26.640    24.840
  1007.782  1377.527      26.819    25.088
  1011.615  1387.688      26.869    25.685
   989.710  1432.274      24.722    23.164
  1003.210  1533.777      26.690    24.945
  1008.706  1681.406      27.009    26.220
   990.568  1709.170      25.897    24.079
   992.570  1883.306      25.972    24.058
  1009.450  1865.015      26.288    24.413
  1006.894  1933.082      25.899    24.117
  1025.665  1133.552      24.793    23.358
  1035.976  1186.744      27.563    25.410
  1018.689  1241.663      26.781    24.930
  1018.682  1434.731      26.046    24.445
  1021.974  1497.485      27.555    25.391
  1030.520  1612.141      26.096    24.757
  1030.283  1667.569      27.988    25.926
  1018.114  1736.647      23.854    22.412
  1021.752  1738.938      25.366    23.805
  1020.446  1807.951      24.358    22.206
  1023.881  1810.030      25.113    22.577
  1013.774  1926.092      23.750    22.302
  1028.108  1934.709      26.356    25.414
  1018.499  1938.705      27.076    25.732
  1038.629  1047.219      27.040    25.147
  1039.548  1137.530      26.220    24.619
  1047.754  1192.192      25.201    23.559
  1056.734  1264.822      26.788    24.862
  1058.366  1398.294      25.158    23.512
  1043.100  1423.535      25.406    23.432
  1060.706  1489.889      26.232    24.422
  1062.835  1550.278      25.220    23.572
  1044.775  1604.688      24.044    22.621
  1043.354  1620.155      26.229    24.485
  1059.662  1613.379      26.718    24.964
  1060.219  1622.572      24.549    23.083
  1054.305  1743.625      25.619    24.265
  1061.062  1812.432      26.874    24.676
  1061.996  1914.531      24.190    22.696
  1049.453  1979.972      25.790    24.240
  1086.316  1038.741      31.407    27.169
  1078.669  1151.483      25.621    24.217
  1067.583  1212.316      28.619    26.002
  1077.398  1205.229      24.269    22.790
  1087.016  1320.666      26.447    25.194
  1077.191  1505.858      27.429    26.141
  1071.367  1520.393      25.514    23.748
  1082.914  1622.397      27.241    25.291
  1077.700  1678.494      24.895    22.383
  1079.103  1702.037      22.081    19.596
  1083.015  1692.266      26.588    24.975
  1069.678  1773.309      24.422    22.883
  1087.703  1780.791      28.155    25.894
  1064.888  1871.299      27.562    25.234
  1078.188  1981.526      24.389    22.918
  1080.183  1975.135      27.898    25.748
  1108.349  1010.788      22.606    19.814
  1101.864  1127.352      25.408    23.901
  1107.689  1124.380      27.384    25.183
  1096.540  1179.288      23.708    21.844
  1091.970  1272.163      25.149    23.695
  1103.227  1378.767      25.763    24.099
  1088.699  1509.908      26.070    24.603
  1102.488  1513.453      27.941    26.361
  1099.999  1608.056      25.350    23.707
  1090.829  1640.936      27.610    25.134
  1112.192  1655.252      25.412    23.881
  1105.437  1670.164      26.623    24.538
  1090.212  1696.560      26.274    24.559
  1094.097  1712.706      26.096    22.596
  1111.968  1725.993      24.881    23.442
  1101.667  1814.955      26.668    25.527
  1098.602  1861.711      22.376    20.794
  1111.519  1881.706      27.079    24.953
  1112.688  1888.457      26.873    25.090
  1098.611  1946.493      26.552    25.114
  1100.417  1981.136      27.422    26.644
  1135.164  1051.385      24.612    23.169
  1130.852  1121.577      24.094    22.693
  1135.401  1134.757      25.771    23.715
  1120.093  1143.328      26.825    25.051
  1114.618  1178.920      26.819    25.658
  1136.645  1350.381      26.260    24.324
  1125.867  1433.939      26.650    25.531
  1122.681  1651.675      24.988    23.471
  1114.955  1706.613      24.896    23.427
  1120.481  1720.440      27.232    25.130
  1114.575  1741.142      28.459    27.236
  1117.786  1752.672      27.081    26.258
  1118.233  1766.900      23.860    22.416
  1129.008  1794.846      27.697    25.129
  1130.619  1926.372      28.160    25.283
  1124.375  1958.380      23.462    21.969
  1161.451  1147.184      27.567    26.465
  1142.637  1444.205      27.461    24.760
  1145.545  1512.348      27.408    25.279
  1150.328  1682.077      26.169    25.559
  1142.421  1803.639      26.730    25.055
  1143.869  1796.271      26.287    24.643
  1138.128  1824.492      27.040    25.884
  1153.260  1818.856      27.481    25.832
  1145.047  1880.748      24.312    22.804
  1162.727  1863.371      27.560    25.356
  1147.621  1908.464      28.362    26.743
  1184.463  1003.204      24.270    22.728
  1171.598  1013.592      24.681    23.202
  1177.989  1069.830      27.651    25.524
  1181.425  1332.620      27.200    25.469
  1186.957  1480.878      23.184    21.741
  1182.620  1492.384      27.147    25.584
  1185.050  1508.938      24.832    23.353
  1181.853  1532.873      25.391    23.843
  1164.689  1659.253      27.401    25.742
  1187.444  1658.568      29.963    25.674
  1181.492  1690.995      26.306    24.711
  1168.519  1790.354      27.299    25.421
  1166.747  1917.365      28.354    25.808
  1180.158  1941.660      27.030    26.004
  1212.423  1316.904      26.808    25.436
  1199.132  1352.356      25.108    23.632
  1192.326  1382.568      25.543    24.025
  1205.109  1449.279      23.729    21.869
  1191.117  1538.251      27.048    26.065
  1193.438  1623.958      25.148    23.509
  1212.680  1627.497      24.299    22.841
  1189.903  1717.140      26.356    24.672
  1192.825  1730.779      28.367    25.909
  1195.754  1808.948      24.915    23.364
  1210.731  1875.666      25.470    24.027
  1192.944  1960.532      26.351    24.592
  1227.830  1223.648      27.289    25.772
  1227.644  1341.859      27.102    25.284
  1214.887  1453.240      26.860    25.344
  1235.333  1512.609      27.227    24.879
  1222.277  1533.629      26.177    24.333
  1225.295  1648.138      23.776    22.347
  1223.787  1770.444      23.628    22.070
  1223.359  1787.035      26.711    26.080
  1236.831  1767.550      25.999    24.504
