#    X         Y         F606W       rms      N     F814W      rms       N        RA               DEC               flag  
#
  3844.746   416.799     29.4531    9.900     1     29.0011    9.900     1     43.91388633279    -54.14773392963        1
  3845.997   469.261     29.5431    9.900     1     28.4161    9.900     1     43.91391550625    -54.14700527614        0
  3857.183   464.142     30.4361    9.900     1     28.5271    9.900     1     43.91418078950    -54.14707637089        0
  3865.052   433.591     28.5611    9.900     1     29.7371    9.900     1     43.91436766425    -54.14750069587        0
  3869.191   459.223     29.8061    0.526     2     29.3331    1.329     2     43.91446556254    -54.14714468752        0
  3862.205   469.137     29.3011    0.913     2     30.5591    9.900     1     43.91429982073    -54.14700699280        0
  3903.967   438.903     29.7901    1.457     4     28.6471    4.326     2     43.91529034982    -54.14742690322        0
  3899.845   473.791     27.3271    0.353     2     27.1411    0.645     3     43.91519226995    -54.14694233967        1
  3900.819   475.058     29.5361    9.900     1     28.4961    0.221     3     43.91521535237    -54.14692474177        0
  3926.103   401.760     30.2551    3.074     2     33.0021    9.900     1     43.91581559982    -54.14794278062        0
  3937.403   402.599     30.8391    9.900     1     29.7021    2.378     2     43.91608353553    -54.14793112371        1
  3923.557   480.806     33.9021    9.900     1     28.4611    9.900     1     43.91575444242    -54.14684489903        0
  3931.261   475.784     33.9021    9.900     1     28.9431    0.287     2     43.91593716414    -54.14691464773        0
  3953.119   454.970     28.8091    3.441     2     29.6091    9.900     1     43.91645565747    -54.14720372914        0
  3961.925   454.247     31.2411    9.900     1     28.7461    9.900     1     43.91666446791    -54.14721376796        0
  3964.680   404.808     30.1591    1.631     2     28.8881    0.096     2     43.91673030135    -54.14790043315        1
  3966.658   399.248     30.6961    2.009     2     32.6431    9.900     1     43.91677726065    -54.14797765619        0
  3971.239   445.242     29.9621    3.433     2     29.3171    2.605     2     43.91688540946    -54.14733883663        0
  3983.313   461.941     26.6391    0.201     3     25.8031    0.001     3     43.91717152823    -54.14710689739        1
  3974.180   468.388     26.5191    0.181     2     25.7891    0.346     3     43.91695490530    -54.14701735714        1
  3979.876   487.917     29.4291    9.900     1     29.1081    9.900     1     43.91708976193    -54.14674611378        0
  3980.102   469.897     29.6871    0.596     2     28.5641    9.900     1     43.91709530816    -54.14699639635        0
  4025.232   411.062     29.8991    9.900     1     29.8471    9.900     1     43.91816603380    -54.14781354945        0
  4015.005   440.335     29.9861    1.003     2     29.3751    0.233     2     43.91792322051    -54.14740697563        1
  4046.332   449.116     29.5651    9.900     1     28.1511    9.900     1     43.91866593670    -54.14728500411        1
  4072.573   411.909     33.9021    9.900     1     28.8911    9.900     1     43.91928856457    -54.14780176899        1
  4109.488   395.810     29.1461    9.900     1     28.6771    9.900     1     43.92016406942    -54.14802535782        0
  4092.213   436.619     29.5961    9.900     1     30.5571    9.900     1     43.91975398498    -54.14745856109        0
  4111.015   415.508     27.2791    0.087     3     26.5251    0.380     2     43.92020005203    -54.14775176864        1
  4112.735   479.322     30.3331    0.478     2     29.0641    1.552     2     43.92024010491    -54.14686544525        1
  4123.661   397.243     29.3561    2.496     2     29.5741    9.900     1     43.92050012190    -54.14800544976        0
  4136.139   423.754     30.5111    9.900     1     29.4201    9.900     1     43.92079569030    -54.14763722996        0
  4159.331   400.064     33.9021    2.126     2     29.6141    2.497     2     43.92134589226    -54.14796625614        1
  4175.725   393.225     30.6441    4.918     2     29.5771    9.900     1     43.92173470671    -54.14806123844        1
  4181.187   399.543     33.9021    9.900     1     29.2891    9.900     1     43.92186414547    -54.14797348484        0
  4163.321   480.142     33.9021    9.900     1     28.4941    9.900     1     43.92143955271    -54.14685403868        0
